slug,embed_url,image_url,banner_url,title,description,category,orientation,quality_score,width,height,date_published,date_modified,namespace,id
teddy-bear-factory,https://play.gamepix.com/teddy-bear-factory/embed?sid=1,https://img.gamepix.com/games/teddy-bear-factory/icon/teddy-bear-factory.png?w=105,https://img.gamepix.com/games/teddy-bear-factory/cover/teddy-bear-factory.png?w=320,ensuring only the finest bears make the cut. Enjoy the playful challenge in this fun and fast-paced quality control adventure.,all,0.34737797,800,,,,2025-07-29 09:51:06+00:00,,tap,where your keen eye is your greatest asset. Swiftly spot and remove imperfect toys on the production line
alone-in-the-evil-mansion,https://play.gamepix.com/alone-in-the-evil-mansion/embed?sid=1,https://img.gamepix.com/games/alone-in-the-evil-mansion/icon/alone-in-the-evil-mansion.png?w=105,https://img.gamepix.com/games/alone-in-the-evil-mansion/cover/alone-in-the-evil-mansion.png?w=320,"capturing the essence of """"90s survival horror. Will you escape the terrors within?",landscape,0.512345678901234,800,,,,2025-07-28 15:04:48+00:00,,horror,where survival hinges on strategic resource management and unraveling sinister secrets. Navigate atmospheric environments with classic tank controls as fear lurks in every shadow
ludo-star,https://play.gamepix.com/ludo-star/embed?sid=1,https://img.gamepix.com/games/ludo-star/icon/ludo-star.png?w=105,https://img.gamepix.com/games/ludo-star/cover/ludo-star.png?w=320,and dominate the competition. Outwit your rivals on your quest to become the ultimate Ludo Star and claim your place at the top of the leaderboard.,landscape,0.34737797,800,,,,2025-07-28 14:54:04+00:00,,board,customize your experience with unique dice skins
fragile-balance,https://play.gamepix.com/fragile-balance/embed?sid=1,https://img.gamepix.com/games/fragile-balance/icon/fragile-balance.png?w=105,https://img.gamepix.com/games/fragile-balance/cover/fragile-balance.png?w=320,addictive test of skill. Are you up for maintaining the delicate equilibrium?,portrait,0.24242424,600,,,,2025-07-28 14:32:49+00:00,,building,striving to build the tallest tower without toppling it. Each decision is crucial in this minimalist
ultimate-bus-simulator-driver-duty-3d,https://play.gamepix.com/ultimate-bus-simulator-driver-duty-3d/embed?sid=1,https://img.gamepix.com/games/ultimate-bus-simulator-driver-duty-3d/icon/ultimate-bus-simulator-driver-duty-3d.png?w=105,https://img.gamepix.com/games/ultimate-bus-simulator-driver-duty-3d/cover/ultimate-bus-simulator-driver-duty-3d.png?w=320,and manage your fleet in challenging scenarios. Each ride offers a chance to prove your expertise behind the wheel.,landscape,0.512345678901234,800,,,,2025-07-28 13:57:32+00:00,,truck,follow traffic rules
fill-the-animal,https://play.gamepix.com/fill-the-animal/embed?sid=1,https://img.gamepix.com/games/fill-the-animal/icon/fill-the-animal.png?w=105,https://img.gamepix.com/games/fill-the-animal/cover/fill-the-animal.png?w=320,this relaxing activity offers endless enjoyment on any device. Let your imagination run wild!,landscape,0.32432432,800,,,,2025-07-28 13:31:11+00:00,,coloring,bringing each to life in your unique style. Perfect for kids and animal enthusiasts
flip-for-fortune-collecting-coins-game,https://play.gamepix.com/flip-for-fortune-collecting-coins-game/embed?sid=1,https://img.gamepix.com/games/flip-for-fortune-collecting-coins-game/icon/flip-for-fortune-collecting-coins-game.png?w=105,https://img.gamepix.com/games/flip-for-fortune-collecting-coins-game/cover/flip-for-fortune-collecting-coins-game.png?w=320,and land effortlessly on platforms to amass a treasure trove of coins. Test your skills and timing in this exhilarating adventure of acrobatic precision and fortune chasing. How many coins can you collect before gravity wins?,all,0.32432432,800,,,,2025-07-28 11:44:46+00:00,,platformer,master aerial maneuvers
bear-and-shapes,https://play.gamepix.com/bear-and-shapes/embed?sid=1,https://img.gamepix.com/games/bear-and-shapes/icon/bear-and-shapes.png?w=105,https://img.gamepix.com/games/bear-and-shapes/cover/bear-and-shapes.png?w=320,animated challenges designed for curious little adventurers.,landscape,0.32432432,800,,,,2025-07-28 10:26:19+00:00,,educational,this game fosters early logic skills through playful interaction with vibrant
connect-the-blocks-mind-grid,https://play.gamepix.com/connect-the-blocks-mind-grid/embed?sid=1,https://img.gamepix.com/games/connect-the-blocks-mind-grid/icon/connect-the-blocks-mind-grid.png?w=105,https://img.gamepix.com/games/connect-the-blocks-mind-grid/cover/connect-the-blocks-mind-grid.png?w=320,seamless path. Every level offers a fresh puzzle to challenge your wit and creativity. Can you master the art of connectivity?,all,0.32432432,800,,,,2025-07-28 10:25:24+00:00,,puzzle,rotating and moving pieces to construct a single
merge-fellas-italian-brainrot,https://play.gamepix.com/merge-fellas-italian-brainrot/embed?sid=1,https://img.gamepix.com/games/merge-fellas-italian-brainrot/icon/merge-fellas-italian-brainrot.png?w=105,https://img.gamepix.com/games/merge-fellas-italian-brainrot/cover/merge-fellas-italian-brainrot.png?w=320,laughter-filled challenge?,portrait,0.44444444,600,,,,2025-07-28 10:05:41+00:00,,puzzle,pushing your strategic limits to uncover the wildest transformations. Can you unravel the ultimate twist in this addictive
brainrot-merge,https://play.gamepix.com/brainrot-merge/embed?sid=1,https://img.gamepix.com/games/brainrot-merge/icon/brainrot-merge.png?w=105,https://img.gamepix.com/games/brainrot-merge/cover/brainrot-merge.png?w=320,creating bizarre new hybrids. Experience absurd physics puzzle fun that turns brain breaks into hilarious chaos.,portrait,0.32432432,600,,,,2025-07-28 08:57:21+00:00,,casual,from bouncing chimps to rolling spions
turbo-tables,https://play.gamepix.com/turbo-tables/embed?sid=1,https://img.gamepix.com/games/turbo-tables/icon/turbo-tables.png?w=105,https://img.gamepix.com/games/turbo-tables/cover/turbo-tables.png?w=320,and a race against the clock. Sharpen your math skills and reflexes as you aim for perfection and become the ultimate multiplication master!,portrait,0.32432432,600,,,,2025-07-28 08:39:33+00:00,,educational,strategic power-ups
hungry-snake-feed,https://play.gamepix.com/hungry-snake-feed/embed?sid=1,https://img.gamepix.com/games/hungry-snake-feed/icon/hungry-snake-feed.png?w=105,https://img.gamepix.com/games/hungry-snake-feed/cover/hungry-snake-feed.png?w=320,this addictive challenge promises endless enjoyment for all ages. How long can you keep the snake growing?,landscape,0.3902439,800,,,,2025-07-25 13:05:52+00:00,,snake,devouring food to grow longer while skillfully dodging obstacles. With simple controls and captivating visuals
robot-run,https://play.gamepix.com/robot-run/embed?sid=1,https://img.gamepix.com/games/robot-run/icon/robot-run.png?w=105,https://img.gamepix.com/games/robot-run/cover/robot-run.png?w=320,experience the thrill of endless escape as a newly assembled robot with an unyielding desire for freedom. Can you outsmart the high-tech defenses and make it to the open world beyond?,portrait,0.3902439,600,,,,2025-07-25 13:00:19+00:00,,runner,dodging lasers and obstacles. In Robot Run
black-and-pink,https://play.gamepix.com/black-and-pink/embed?sid=1,https://img.gamepix.com/games/black-and-pink/icon/black-and-pink.png?w=105,https://img.gamepix.com/games/black-and-pink/cover/black-and-pink.png?w=320,brace yourself for escalating difficulty and sharpen your reflexes in this unique color-flipping adventure.,landscape,0.44369033,800,,,,2025-07-24 18:58:13+00:00,,casual,conquering each challenge as the intensity rises. As you master each stage
number-sum,https://play.gamepix.com/number-sum/embed?sid=1,https://img.gamepix.com/games/number-sum/icon/number-sum.png?w=105,https://img.gamepix.com/games/number-sum/cover/number-sum.png?w=320,this addictive challenge promises endless brain-bending fun. Will you reign as the ultimate puzzle master?,portrait,0.52830189,600,,,,2025-07-24 18:55:58+00:00,,math,a logic puzzle game that will put your number-crunching skills to the test. Strategically select grid cells to achieve precise target sums across rows and columns. With 5000 levels
funny-blocks,https://play.gamepix.com/funny-blocks/embed?sid=1,https://img.gamepix.com/games/funny-blocks/icon/funny-blocks.png?w=105,https://img.gamepix.com/games/funny-blocks/cover/funny-blocks.png?w=320,it’s a delightful challenge for both mobile and desktop gamers.,portrait,0.32432432,600,,,,2025-07-24 18:54:26+00:00,,block,balancing creativity and quick thinking. Perfect for all ages
magic-15-puzzle,https://play.gamepix.com/magic-15-puzzle/embed?sid=1,https://img.gamepix.com/games/magic-15-puzzle/icon/magic-15-puzzle.png?w=105,https://img.gamepix.com/games/magic-15-puzzle/cover/magic-15-puzzle.png?w=320,this timeless puzzler is perfect for quick brain-teasing fun.,all,0.29176831,800,,,,2025-07-24 18:53:17+00:00,,puzzle,using your wits and speed to conquer each configuration. Simple yet challenging
tic-tac-toe-cat,https://play.gamepix.com/tic-tac-toe-cat/embed?sid=1,https://img.gamepix.com/games/tic-tac-toe-cat/icon/tic-tac-toe-cat.png?w=105,https://img.gamepix.com/games/tic-tac-toe-cat/cover/tic-tac-toe-cat.png?w=320,"light-hearted gameplay that""""s purrfectly engaging for kids.",portrait,0.32432432,600,,,,2025-07-24 18:19:08+00:00,,cats,where strategic placement on a playful grid leads to victory. Align three or more feline friends to outsmart the dog and claim triumph with every purr and whisker. Enjoy charming
shelter-security-gatekeeper-simulator,https://play.gamepix.com/shelter-security-gatekeeper-simulator/embed?sid=1,https://img.gamepix.com/games/shelter-security-gatekeeper-simulator/icon/shelter-security-gatekeeper-simulator.png?w=105,https://img.gamepix.com/games/shelter-security-gatekeeper-simulator/cover/shelter-security-gatekeeper-simulator.png?w=320,and discerning friend from foe in a world where prankster mutants and masked bandits test your vigilance. Can you handle the wild antics as the ultimate gatekeeper?,all,0.24242424,800,,,,2025-07-24 18:16:58+00:00,,simulation,scanning luggage
vault-vault-collecting-coins,https://play.gamepix.com/vault-vault-collecting-coins/embed?sid=1,https://img.gamepix.com/games/vault-vault-collecting-coins/icon/vault-vault-collecting-coins.png?w=105,https://img.gamepix.com/games/vault-vault-collecting-coins/cover/vault-vault-collecting-coins.png?w=320,challenge yourself to climb higher and score big. Dive into an exhilarating coin-collecting adventure where every jump counts and each vault holds potential riches.,all,0.3902439,800,,,,2025-07-24 09:43:02+00:00,,platformer,tapping coins from treasure vaults in this addictive platformer. With endless level generation and intuitive controls
mega-coin-mayhem-collect-coins-game,https://play.gamepix.com/mega-coin-mayhem-collect-coins-game/embed?sid=1,https://img.gamepix.com/games/mega-coin-mayhem-collect-coins-game/icon/mega-coin-mayhem-collect-coins-game.png?w=105,https://img.gamepix.com/games/mega-coin-mayhem-collect-coins-game/cover/mega-coin-mayhem-collect-coins-game.png?w=320,collecting points in this exhilarating coin frenzy.,all,0.32432432,800,,,,2025-07-24 09:37:39+00:00,,arcade,dashing past towering obstacles to amass golden coins. Experience the thrill of fast-paced action as you skillfully maneuver through vibrant streets
animal-feed-puzzle,https://play.gamepix.com/animal-feed-puzzle/embed?sid=1,https://img.gamepix.com/games/animal-feed-puzzle/icon/animal-feed-puzzle.png?w=105,https://img.gamepix.com/games/animal-feed-puzzle/cover/animal-feed-puzzle.png?w=320,this delightful game blends learning with entertainment for puzzle and animal enthusiasts alike.,portrait,0.32432432,600,,,,2025-07-24 09:35:30+00:00,,puzzle,where each level challenges your wits to nourish adorable animals. Navigate through cleverly designed puzzles that sharpen your mind while offering endless fun. Perfect for all ages
a-penguin-s-odyssey,https://play.gamepix.com/a-penguin-s-odyssey/embed?sid=1,https://img.gamepix.com/games/a-penguin-s-odyssey/icon/a-penguin-s-odyssey.png?w=105,https://img.gamepix.com/games/a-penguin-s-odyssey/cover/a-penguin-s-odyssey.png?w=320,"and race to reunite with your lost colony. Discover hidden achievements and unlock surprises as you bravely explore the ocean""""s depths. Every splash and dive brings you closer to victory!",landscape,0.512345678901234,800,,,,2025-07-24 09:31:50+00:00,,animal,dodge lurking dangers
chrono-chef,https://play.gamepix.com/chrono-chef/embed?sid=1,https://img.gamepix.com/games/chrono-chef/icon/chrono-chef.png?w=105,https://img.gamepix.com/games/chrono-chef/cover/chrono-chef.png?w=320,and serve mouthwatering dishes quickly to keep the timeline intact. Experience the thrill of fast-paced cooking with a historical twist!,all,0.32432432,800,,,,2025-07-23 08:21:25+00:00,,cooking,cook them at your Chrono-Stove
queens-land,https://play.gamepix.com/queens-land/embed?sid=1,https://img.gamepix.com/games/queens-land/icon/queens-land.png?w=105,https://img.gamepix.com/games/queens-land/cover/queens-land.png?w=320,testing your wits and strategy in this captivating puzzle adventure.,portrait,0.32432432,600,,,,2025-07-23 08:17:10+00:00,,puzzle,combining the charm of chess and vibrant logic puzzles. Strategically position queens as they elegantly navigate the board like kings
planet-defences,https://play.gamepix.com/planet-defences/embed?sid=1,https://img.gamepix.com/games/planet-defences/icon/planet-defences.png?w=105,https://img.gamepix.com/games/planet-defences/cover/planet-defences.png?w=320,"rely on your skills to achieve the highest score and prolong your planet""""s survival.",landscape,0.512345678901234,800,,,,2025-07-23 08:14:06+00:00,,arcade,fast-paced gameplay and increasing challenges
missile-control-infiltration-strike,https://play.gamepix.com/missile-control-infiltration-strike/embed?sid=1,https://img.gamepix.com/games/missile-control-infiltration-strike/icon/missile-control-infiltration-strike.png?w=105,https://img.gamepix.com/games/missile-control-infiltration-strike/cover/missile-control-infiltration-strike.png?w=320,and take down enemy defenses. Engage in explosive chaos and incredible destruction in a fast-paced battle where every second is a pulse-pounding test of skill.,landscape,0.512345678901234,800,,,,2025-07-23 08:11:18+00:00,,war,dodge obstacles
barry-prison-run-gta,https://play.gamepix.com/barry-prison-run-gta/embed?sid=1,https://img.gamepix.com/games/barry-prison-run-gta/icon/barry-prison-run-gta.png?w=105,https://img.gamepix.com/games/barry-prison-run-gta/cover/barry-prison-run-gta.png?w=320,bustling world. Can you outsmart the law and seize control of your destiny?,landscape,0.65225206,800,,,,2025-07-21 08:05:58+00:00,,car,an ex-prisoner navigating a sprawling cityscape. Embrace chaos and freedom with exhilarating stunts and unpredictable encounters in a lively
snowboard-game-party,https://play.gamepix.com/snowboard-game-party/embed?sid=1,https://img.gamepix.com/games/snowboard-game-party/icon/snowboard-game-party.png?w=105,https://img.gamepix.com/games/snowboard-game-party/cover/snowboard-game-party.png?w=320,making each run a uniquely thrilling experience.,all,0.32432432,800,,,,2025-07-21 08:04:36+00:00,,arcade,dodging obstacles like snowballs and fences. Master agile controls to maintain speed and secure victory. Earn points to unlock and personalize gear
snake-nokia-classic,https://play.gamepix.com/snake-nokia-classic/embed?sid=1,https://img.gamepix.com/games/snake-nokia-classic/icon/snake-nokia-classic.png?w=105,https://img.gamepix.com/games/snake-nokia-classic/cover/snake-nokia-classic.png?w=320,guaranteed to test your reflexes and strategy.,landscape,0.512345678901234,800,,,,2025-07-21 07:59:03+00:00,,retro,gobbling food to expand while evading self-collision. It’s a thrilling throwback with its addictive simplicity and fast-paced action
tiny-billiard,https://play.gamepix.com/tiny-billiard/embed?sid=1,https://img.gamepix.com/games/tiny-billiard/icon/tiny-billiard.png?w=105,https://img.gamepix.com/games/tiny-billiard/cover/tiny-billiard.png?w=320,"enjoy a bite-sized blast of non-stop fun that""""s easy to play but impossible to put down.",landscape,0.32432432,800,,,,2025-07-18 14:58:50+00:00,,sports,"where one-tap precision leads you to trick shots and mini table mastery. Whether you""""re a beginner or a pro"
dog-coloring-book,https://play.gamepix.com/dog-coloring-book/embed?sid=1,https://img.gamepix.com/games/dog-coloring-book/icon/dog-coloring-book.png?w=105,https://img.gamepix.com/games/dog-coloring-book/cover/dog-coloring-book.png?w=320,this calming app lets you unleash your creativity while refining your artistic talents in a soothing environment.,landscape,0.24242424,800,,,,2025-07-18 14:55:29+00:00,,coloring,where you bring charming dog illustrations to life with your vibrant hues. A delightful escape for all ages
offroad-4x4-driving-simulator,https://play.gamepix.com/offroad-4x4-driving-simulator/embed?sid=1,https://img.gamepix.com/games/offroad-4x4-driving-simulator/icon/offroad-4x4-driving-simulator.png?w=105,https://img.gamepix.com/games/offroad-4x4-driving-simulator/cover/offroad-4x4-driving-simulator.png?w=320,and experience thrilling off-road adventures. Get ready for an exhilarating ride!,portrait,0.56785527,600,,,,2025-07-18 13:18:56+00:00,,simulation,enjoy realistic driving physics
impossible-bike-stunt-ride,https://play.gamepix.com/impossible-bike-stunt-ride/embed?sid=1,https://img.gamepix.com/games/impossible-bike-stunt-ride/icon/impossible-bike-stunt-ride.png?w=105,https://img.gamepix.com/games/impossible-bike-stunt-ride/cover/impossible-bike-stunt-ride.png?w=320,this exhilarating game challenges you to master daredevil maneuvers on your dirt bike. Are you ready for the ride?,landscape,0.52830189,800,,,,2025-07-18 08:36:44+00:00,,bike,showcasing your racing skills. Perfect for thrill-seekers
punch-the-ape,https://play.gamepix.com/punch-the-ape/embed?sid=1,https://img.gamepix.com/games/punch-the-ape/icon/punch-the-ape.png?w=105,https://img.gamepix.com/games/punch-the-ape/cover/punch-the-ape.png?w=320,fun-filled experience!,portrait,0.52830189,600,,,,2025-07-18 08:31:14+00:00,,casual,overcoming quirky foes and unleashing your inner champion. Satisfy your urge to vent in a frenzied
kids-supermarket,https://play.gamepix.com/kids-supermarket/embed?sid=1,https://img.gamepix.com/games/kids-supermarket/icon/kids-supermarket.png?w=105,https://img.gamepix.com/games/kids-supermarket/cover/kids-supermarket.png?w=320,making every cart-load a delightful discovery.,all,0.3902439,800,,,,2025-07-17 13:38:01+00:00,,simulation,where shopping transforms into a playful learning adventure. Enhance observation and categorization skills while navigating through realistic aisles brimming with diverse goods. Enjoy the thrill of solo shopping
christmas-run-puzzle,https://play.gamepix.com/christmas-run-puzzle/embed?sid=1,https://img.gamepix.com/games/christmas-run-puzzle/icon/christmas-run-puzzle.png?w=105,https://img.gamepix.com/games/christmas-run-puzzle/cover/christmas-run-puzzle.png?w=320,it’s holiday cheer in every move.,landscape,0.44444444,800,,,,2025-07-15 10:01:10+00:00,,puzzle,bringing snowy landscapes and cheerful spirits to life. Ideal for all ages
button-dash,https://play.gamepix.com/button-dash/embed?sid=1,https://img.gamepix.com/games/button-dash/icon/button-dash.png?w=105,https://img.gamepix.com/games/button-dash/cover/button-dash.png?w=320,adrenaline-pumping race against time.,landscape,0.512345678901234,800,,,,2025-07-15 09:27:31+00:00,,arcade,where speed and precision collide! Hone your reflexes and pattern skills in this electrifying arcade experience. Rapidly tap the right buttons while dodging decoys to keep your streak alive in this colorful
fidget-spinner-hand-spinner-game,https://play.gamepix.com/fidget-spinner-hand-spinner-game/embed?sid=1,https://img.gamepix.com/games/fidget-spinner-hand-spinner-game/icon/fidget-spinner-hand-spinner-game.png?w=105,https://img.gamepix.com/games/fidget-spinner-hand-spinner-game/cover/fidget-spinner-hand-spinner-game.png?w=320,and upgrade fidget spinners as you unlock exciting designs and dominate intense battles. Enjoy realistic physics and addictive gameplay that keeps you coming back for more. Master the art of spinning to become the ultimate fidget spinner champion in this visually striking adventure.,portrait,0.32432432,600,,,,2025-07-14 12:05:17+00:00,,spinner,merge
clean-before-your-wife-returns-hidden-object,https://play.gamepix.com/clean-before-your-wife-returns-hidden-object/embed?sid=1,https://img.gamepix.com/games/clean-before-your-wife-returns-hidden-object/icon/clean-before-your-wife-returns-hidden-object.png?w=105,https://img.gamepix.com/games/clean-before-your-wife-returns-hidden-object/cover/clean-before-your-wife-returns-hidden-object.png?w=320,and tidy up swiftly to avoid domestic disaster before your wife returns home.,landscape,0.52830189,800,,,,2025-07-14 11:03:56+00:00,,hidden-object,unearth missing items
squid-scape,https://play.gamepix.com/squid-scape/embed?sid=1,https://img.gamepix.com/games/squid-scape/icon/squid-scape.png?w=105,https://img.gamepix.com/games/squid-scape/cover/squid-scape.png?w=320,perfecting your timing and strategy to slip past watchful eyes. Experience the thrill of stealth as you adapt and escape with seamless gameplay on any device.,portrait,0.43662289,600,,,,2025-07-14 10:56:06+00:00,,escape,where every step counts. Test your wits through 30 nerve-wracking levels
hexa-block-honey-cells,https://play.gamepix.com/hexa-block-honey-cells/embed?sid=1,https://img.gamepix.com/games/hexa-block-honey-cells/icon/hexa-block-honey-cells.png?w=105,https://img.gamepix.com/games/hexa-block-honey-cells/cover/hexa-block-honey-cells.png?w=320,testing your logic and precision. Enjoy captivating gameplay with fluid animations and vivid graphics that make every moment delightful.,all,0.3902439,800,,,,2025-07-14 10:34:11+00:00,,block,where your mission is to strategically place colorful hexagonal blocks. Each level brings new challenges
freddy-in-five-nights-terrors,https://play.gamepix.com/freddy-in-five-nights-terrors/embed?sid=1,https://img.gamepix.com/games/freddy-in-five-nights-terrors/icon/freddy-in-five-nights-terrors.png?w=105,https://img.gamepix.com/games/freddy-in-five-nights-terrors/cover/freddy-in-five-nights-terrors.png?w=320,and outmaneuver sinister animatronics lurking in shadows. Feel the tension rise as you make quick decisions to survive. Can you endure the escalating terror of Freddy and his menacing crew?,landscape,0.66745201,800,,,,2025-07-14 10:02:02+00:00,,horror,conserve power
